pai_year,sample,n,informative_strata,assignment_blocks,control_mean,control_sd,raw_difference,effect_points,hc2_std_error,hc2_conf_low,hc2_conf_high,hc2_p_value,cr2_std_error,cr2_conf_low,cr2_conf_high,cr2_p_value,prior_adjusted_effect,effect_sd,hc2_conf_low_sd,hc2_conf_high_sd,code_link_n,code_link_effect,code_link_conf_low,code_link_conf_high,randomization_p_value,randomization_repetitions
2023-2024,PAI 2.0 primary,5421,683,291,66.09890033100405,12.07670626844629,-0.058693077118035474,-0.050397132957943264,0.27422668812216805,-0.5880089314391218,0.48721466552323534,0.854194621435385,0.25456670277395227,-0.5518811516298388,0.4510868857139523,0.8432352880257307,0.03210500772149234,-0.004173085925722944,-0.04868951172352817,0.04034333987208229,4456,0.009676064503539684,-0.590103072353987,0.6094552013610662,0.8472,4999
2022-2023,PAI 1.0 replication,4222,537,219,55.65167222486899,9.742331521018926,-0.005544104284898223,0.25218675679616454,0.26100283754990794,-0.25953752886071435,0.7639110424530434,0.3339963894428395,0.2508988218820932,-0.2427819457002613,0.7471554592925893,0.3161366692716347,0.03132116138161486,0.025885667743093695,-0.026640186520112383,0.07841152200629976,4222,0.25218675679616454,-0.25953752886071435,0.7639110424530434,0.3362,4999
